cluster,type,feature_group,encoded_col,cluster_prop,overall_prop,lift,cluster_size,feature,cluster_mean,global_mean,effect_size
1,numeric,,,,,,55079,age,-1.1558789858256573,3.703655444186907e-17,-1.1558789858256573
1,numeric,,,,,,55079,weeks worked in year,-0.9390491967954103,-8.831793751522624e-17,-0.9390491967954102
1,numeric,,,,,,55079,num persons worked for employer,-0.7993223854447747,2.1652139519861916e-17,-0.7993223854447747
1,numeric,,,,,,55079,own business or self employed,-0.30989989059669,-6.025562511119468e-17,-0.30989989059668993
1,numeric,,,,,,55079,wage per hour,-0.20162881800816249,-1.1965656050450007e-17,-0.20162881800816249
1,numeric,,,,,,55079,capital losses,-0.13419699898427742,9.68648346941191e-18,-0.13419699898427742
1,numeric,,,,,,55079,capital gains,-0.09238115863948364,2.0227656656713107e-17,-0.09238115863948367
1,numeric,,,,,,55079,weight,-0.04611503431406844,-2.1196305003654296e-16,-0.04611503431406822
2,categorical,tax filer stat,tax filer stat_above 65,0.25327603212625055,0.04175959663798159,6.065097666577759,14194,,,,
2,categorical,detailed household summary in household,detailed household summary in household_spouse_partner,0.9790756657742709,0.20904356891185477,4.683596203751705,14194,,,,
2,categorical,detailed household and family stat,detailed household and family stat_spouse_or_partner,0.9918275327603213,0.2131383349288052,4.653445064641339,14194,,,,
2,categorical,full or part time employment stat,full or part time employment stat_unemployed,0.4928138650133859,0.15016815104023096,3.2817469057161004,14194,,,,
2,categorical,marital stat,marital stat_Married (spouse present),0.999788643088629,0.42544969752860573,2.349957348415806,14194,,,,
2,categorical,country of birth father,country of birth father_europe,0.08390869381428773,0.039218536208858124,2.1395162065058315,14194,,,,
2,categorical,country of birth self,country of birth self_europe,0.03036494293363393,0.014674999874701162,2.0691613760066403,14194,,,,
2,categorical,country of birth mother,country of birth mother_europe,0.07594758348597999,0.037173659177137476,2.0430483618542787,14194,,,,
2,categorical,major industry code,major industry code_Not in universe or children,0.9990841200507257,0.5046235271121625,1.9798603639593275,14194,,,,
2,categorical,major occupation code,major occupation code_Not in universe,0.9990841200507257,0.5046235271121625,1.9798603639593275,14194,,,,
2,numeric,,,,,,14194,age,0.9012040432974512,3.703655444186907e-17,0.9012040432974512
2,numeric,,,,,,14194,weeks worked in year,-0.8116822603076345,-8.831793751522624e-17,-0.8116822603076344
2,numeric,,,,,,14194,num persons worked for employer,-0.6107154026568262,2.1652139519861916e-17,-0.6107154026568262
2,numeric,,,,,,14194,veterans benefits,0.5612761464493373,1.0142317985619529e-16,0.5612761464493372
2,numeric,,,,,,14194,own business or self employed,-0.26417376372660356,-6.025562511119468e-17,-0.2641737637266035
2,numeric,,,,,,14194,wage per hour,-0.20162881800816246,-1.1965656050450007e-17,-0.20162881800816246
2,numeric,,,,,,14194,capital losses,-0.13561462133889224,9.68648346941191e-18,-0.13561462133889224
2,numeric,,,,,,14194,capital gains,-0.09050800542889977,2.0227656656713107e-17,-0.0905080054288998
2,numeric,,,,,,14194,weight,0.008626270082836243,-2.1196305003654296e-16,0.008626270082836455
3,categorical,major industry code,major industry code_Mining,0.011888250445809392,0.0028217298256341373,4.213107271224205,30282,,,,
3,categorical,major industry code,major industry code_Utilities and sanitary services,0.021960240406842347,0.005904081233742476,3.7195017374315835,30282,,,,
3,categorical,label,label_50000+.,0.22950927943993132,0.06205800834991455,3.6983023713207412,30282,,,,
3,categorical,major occupation code,major occupation code_Precision production craft & repair,0.17601215243378904,0.05271572700891627,3.338892630732733,30282,,,,
3,categorical,major occupation code,major occupation code_Transportation and material moving,0.065814675384717,0.020148053106659382,3.2665526061653956,30282,,,,
3,categorical,major occupation code,major occupation code_Protective services,0.026781586420976156,0.008324854778647073,3.217063496371117,30282,,,,
3,categorical,major industry code,major industry code_Construction,0.09319067432798363,0.02999152979856959,3.1072331072764503,30282,,,,
3,categorical,class of worker,class of worker_self employed,0.17591308368007397,0.05868997559178641,2.997327599923091,30282,,,,
3,categorical,education,education_Prof school degree (MD DDS DVM LLB JD),0.026715540585166106,0.008986432641850815,2.9728749604986597,30282,,,,
3,categorical,education,education_Doctorate degree(PhD EdD),0.018591902780529686,0.006330097282017612,2.9370643060012864,30282,,,,
3,numeric,,,,,,30282,weeks worked in year,1.0343493117643388,-8.831793751522624e-17,1.0343493117643388
3,numeric,,,,,,30282,num persons worked for employer,0.7416857534414921,2.1652139519861916e-17,0.7416857534414921
3,numeric,,,,,,30282,veterans benefits,0.5519969940866916,1.0142317985619529e-16,0.5519969940866915
3,numeric,,,,,,30282,age,0.3741805454749634,3.703655444186907e-17,0.3741805454749633
3,numeric,,,,,,30282,capital gains,0.3059512276287086,2.0227656656713107e-17,0.30595122762870863
3,numeric,,,,,,30282,capital losses,0.3030533325316738,9.68648346941191e-18,0.3030533325316738
3,numeric,,,,,,30282,own business or self employed,0.249501447300994,-6.025562511119468e-17,0.24950144730099405
3,numeric,,,,,,30282,wage per hour,0.21576386970092082,-1.1965656050450007e-17,0.21576386970092082
3,numeric,,,,,,30282,weight,-0.0005740648348522744,-2.1196305003654296e-16,-0.0005740648348520625
4,categorical,marital stat,marital stat_Married (spouse absent / disrupted),0.1016005935976256,0.024949504568395623,4.072248942623354,18868,,,,
4,categorical,marital stat,marital stat_Previously married,0.46867712529149885,0.11614199866682037,4.035380229989027,18868,,,,
4,categorical,tax filer stat,tax filer stat_single,0.7364320542717829,0.18755231226475144,3.926542122457148,18868,,,,
4,categorical,major industry code,major industry code_Hospital services,0.05294678821284715,0.019867383710148706,2.6650106015620336,18868,,,,
4,categorical,major industry code,major industry code_Communications,0.015263938944244222,0.005919117094269834,2.5787526587404233,18868,,,,
4,categorical,major industry code,major industry code_Medical except hospital,0.060419758320966716,0.023470978283205445,2.5742326370861077,18868,,,,
4,categorical,detailed household and family stat,detailed household and family stat_householder,0.9591371634513461,0.37820702375164766,2.536010976044618,18868,,,,
4,categorical,detailed household summary in household,detailed household summary in household_self_householder,0.9592431630273479,0.37827719110077535,2.5358207832620807,18868,,,,
4,categorical,major industry code,major industry code_Public administration,0.05739877040491838,0.02310510567703974,2.4842461751628044,18868,,,,
4,categorical,major occupation code,major occupation code_Adm support including clerical,0.18072927708289166,0.0743623542148023,2.4303867056284822,18868,,,,
4,numeric,,,,,,18868,weeks worked in year,0.9347392474928441,-8.831793751522624e-17,0.9347392474928442
4,numeric,,,,,,18868,num persons worked for employer,0.8024588314216161,2.1652139519861916e-17,0.8024588314216161
4,numeric,,,,,,18868,veterans benefits,0.5597771193404828,1.0142317985619529e-16,0.5597771193404827
4,numeric,,,,,,18868,own business or self employed,0.41158179932879946,-6.025562511119468e-17,0.4115817993287995
4,numeric,,,,,,18868,age,0.272603596424258,3.703655444186907e-17,0.27260359642425797
4,numeric,,,,,,18868,wage per hour,0.24373821146938032,-1.1965656050450007e-17,0.24373821146938032
4,numeric,,,,,,18868,capital losses,0.1352132562197935,9.68648346941191e-18,0.1352132562197935
4,numeric,,,,,,18868,weight,0.07638461614651204,-2.1196305003654296e-16,0.07638461614651225
4,numeric,,,,,,18868,capital gains,0.06869787745628494,2.0227656656713107e-17,0.06869787745628494
5,categorical,detailed household summary in household,detailed household summary in household_group_quarters_or_secondary,0.0026669804290700865,0.0006615778632037409,4.031241940525385,25497,,,,
5,categorical,marital stat,marital stat_Previously married,0.43256069341491155,0.11614199866682037,3.7244123433402403,25497,,,,
5,categorical,full or part time employment stat,full or part time employment stat_unemployed,0.505667333411774,0.15016815104023096,3.3673407437526657,25497,,,,
5,categorical,tax filer stat,tax filer stat_above 65,0.13374122445777933,0.04175959663798159,3.202646462732778,25497,,,,
5,categorical,education,education_7th and 8th grade,0.12499509746244657,0.04013071174751783,3.1146992420381823,25497,,,,
5,categorical,detailed household and family stat,detailed household and family stat_group_quarters,0.0029415225320625956,0.000982342887787373,2.9943948987996185,25497,,,,
5,categorical,country of birth father,country of birth father_europe,0.1043652194375809,0.039218536208858124,2.661119703238908,25497,,,,
5,categorical,country of birth mother,country of birth mother_europe,0.09585441424481311,0.037173659177137476,2.578557407761608,25497,,,,
5,categorical,detailed household and family stat,detailed household and family stat_other_relative,0.07318508059771738,0.028492955699342935,2.5685324249953143,25497,,,,
5,categorical,education,education_1st 2nd 3rd or 4th grade,0.02239479154410323,0.00901650436290553,2.483755415927798,25497,,,,
5,numeric,,,,,,25497,age,1.2673506468379867,3.703655444186907e-17,1.2673506468379867
5,numeric,,,,,,25497,weeks worked in year,-0.8349167657553562,-8.831793751522624e-17,-0.8349167657553561
5,numeric,,,,,,25497,num persons worked for employer,-0.6597587931778669,2.1652139519861916e-17,-0.6597587931778669
5,numeric,,,,,,25497,veterans benefits,0.5199136276962418,1.0142317985619529e-16,0.5199136276962417
5,numeric,,,,,,25497,own business or self employed,-0.2669842782810665,-6.025562511119468e-17,-0.26698427828106647
5,numeric,,,,,,25497,wage per hour,-0.2016288180081625,-1.1965656050450007e-17,-0.2016288180081625
5,numeric,,,,,,25497,capital losses,0.022629751504844236,9.68648346941191e-18,0.022629751504844225
5,numeric,,,,,,25497,weight,0.015575309473850829,-2.1196305003654296e-16,0.01557530947385104
5,numeric,,,,,,25497,capital gains,-0.010142916877026563,2.0227656656713107e-17,-0.010142916877026585
6,categorical,enroll in edu inst last wk,enroll in edu inst last wk_College or university,0.18846617695428133,0.028507991559870292,6.610994554228037,18242,,,,
6,categorical,detailed household and family stat,detailed household and family stat_nonfamily_individual,0.21669773051200525,0.03411636753657473,6.3517234148592365,18242,,,,
6,categorical,enroll in edu inst last wk,enroll in edu inst last wk_High school,0.15639732485473085,0.034542383584849866,4.527693477508773,18242,,,,
6,categorical,tax filer stat,tax filer stat_single,0.818495778971604,0.18755231226475144,4.364093244642081,18242,,,,
6,categorical,major occupation code,major occupation code_Handlers equip cleaners etc,0.08502357197675693,0.020684332132135143,4.110530203905615,18242,,,,
6,categorical,detailed household summary in household,detailed household summary in household_group_quarters_or_secondary,0.002686108979278588,0.0006615778632037409,4.060155468731831,18242,,,,
6,categorical,major industry code,major industry code_Entertainment,0.030479114132222342,0.00827473524355588,3.6833944815284063,18242,,,,
6,categorical,major industry code,major industry code_Retail trade,0.3069290647955268,0.08555404640066559,3.5875458579494954,18242,,,,
6,categorical,detailed household summary in household,detailed household summary in household_relative_or_nonrelative,0.29470452801227937,0.08672684352179949,3.3980774123089468,18242,,,,
6,categorical,major occupation code,major occupation code_Other service,0.19137156013595,0.0606396255068338,3.155882948425915,18242,,,,
6,numeric,,,,,,18242,num persons worked for employer,0.6612047419043107,2.1652139519861916e-17,0.6612047419043107
6,numeric,,,,,,18242,veterans benefits,0.567030174272604,1.0142317985619529e-16,0.5670301742726039
6,numeric,,,,,,18242,weeks worked in year,0.5296755170069039,-8.831793751522624e-17,0.529675517006904
6,numeric,,,,,,18242,own business or self employed,0.46578558220104355,-6.025562511119468e-17,0.4657855822010436
6,numeric,,,,,,18242,age,-0.41159583683926704,3.703655444186907e-17,-0.4115958368392671
6,numeric,,,,,,18242,weight,0.2504894641795788,-2.1196305003654296e-16,0.250489464179579
6,numeric,,,,,,18242,wage per hour,0.15321898116861704,-1.1965656050450007e-17,0.15321898116861704
6,numeric,,,,,,18242,capital gains,-0.05678313314418042,2.0227656656713107e-17,-0.056783133144180445
6,numeric,,,,,,18242,capital losses,0.048297304233323596,9.68648346941191e-18,0.04829730423332359
7,categorical,country of birth self,country of birth self_latam,0.9026012793176972,0.058594748475113145,15.404132670712933,11725,,,,
7,categorical,country of birth mother,country of birth mother_latam,0.935863539445629,0.09429990527407868,9.924331702408196,11725,,,,
7,categorical,country of birth father,country of birth father_latam,0.9288699360341152,0.09682592984267478,9.593194070466108,11725,,,,
7,categorical,education,education_5th or 6th grade,0.14643923240938167,0.01642417164938378,8.916080246572188,11725,,,,
7,categorical,education,education_1st 2nd 3rd or 4th grade,0.07744136460554371,0.00901650436290553,8.588845686599164,11725,,,,
7,categorical,citizenship,citizenship_foreign born,0.8568869936034115,0.10531116713361367,8.136715382863766,11725,,,,
7,categorical,education,education_Less than 1st grade,0.030362473347547974,0.004104789923968666,7.396839767671324,11725,,,,
7,categorical,hispanic origin,hispanic origin_rest,0.9246908315565032,0.13249600296707648,6.979009259519148,11725,,,,
7,categorical,race,race_Other,0.11556503198294243,0.018328713982849094,6.305135869929622,11725,,,,
7,categorical,major occupation code,major occupation code_Private household services,0.020895522388059702,0.003909323737113015,5.345047837734405,11725,,,,
7,numeric,,,,,,11725,veterans benefits,0.5062937803149906,1.0142317985619529e-16,0.5062937803149905
7,numeric,,,,,,11725,weight,-0.3347335048378176,-2.1196305003654296e-16,-0.3347335048378174
7,numeric,,,,,,11725,weeks worked in year,0.19144563243592116,-8.831793751522624e-17,0.19144563243592125
7,numeric,,,,,,11725,age,0.1489576697887192,3.703655444186907e-17,0.14895766978871916
7,numeric,,,,,,11725,num persons worked for employer,0.08671816388855315,2.1652139519861916e-17,0.08671816388855312
7,numeric,,,,,,11725,own business or self employed,-0.07994630924437217,-6.025562511119468e-17,-0.07994630924437211
7,numeric,,,,,,11725,capital gains,-0.04865604966125006,2.0227656656713107e-17,-0.04865604966125009
7,numeric,,,,,,11725,wage per hour,-0.03839547930900473,-1.1965656050450007e-17,-0.038395479309004714
7,numeric,,,,,,11725,capital losses,-0.03569007750248308,9.68648346941191e-18,-0.035690077502483084
